0051,435,544,26,423
0052,505,713,145,778
0001,87,193,8,102
0002,26,275,25,479
0054,289,484,254,870
0053,347,729,243,707
0003,259,328,625,760
0055,500,708,146,794
0004,394,738,225,1063
0056,374,729,459,1455
0057,457,964,292,844
0059,291,493,240,880
0058,371,763,228,719
0060,52,348,151,799
0061,474,686,138,783
0062,246,335,617,735
0005,718,941,52,665
0063,375,836,338,826
0064,200,398,226,864
0006,371,651,77,544
0007,341,891,276,811
0065,162,330,43,562
0066,729,983,431,634
0068,203,397,222,874
0067,398,785,210,705
0069,78,147,552,700
0070,306,516,194,737
0071,155,302,28,446
0072,757,970,352,648
0073,312,500,228,884
0074,488,679,211,843
0075,288,443,31,463
0076,278,476,141,507
0077,126,765,132,450
0078,498,687,211,842
0079,110,268,7,448
0080,255,447,56,445
0081,194,694,134,622
0082,159,386,942,1525
0083,132,277,14,460
0084,250,440,93,451
0085,12,139,197,490
0086,126,229,840,1032
0087,226,442,403,999
0088,54,204,21,465
0089,298,465,14,452
0090,203,423,227,870
0091,93,219,231,546
0092,495,707,198,841
0093,147,301,754,1218
0094,55,202,7,445
0008,521,718,27,259
0095,89,267,26,455
0096,65,177,15,121
0097,498,662,64,505
0009,278,654,173,735
0098,52,200,4,445
0099,162,293,25,399
0101,537,808,497,776
0100,162,407,204,685
0102,26,83,780,966
0103,150,425,289,638
0105,473,763,29,693
0104,543,809,455,736
0106,102,195,747,945
0107,246,451,73,622
0108,247,463,175,638
0109,226,318,98,167
0110,217,782,24,832
0111,141,265,136,468
0112,492,703,276,799
0113,423,628,348,921
0114,490,729,67,756
0115,278,631,20,434
0010,182,378,14,143
0116,481,669,333,916
0117,175,386,392,977
0118,469,697,169,815
0120,341,704,251,736
0119,183,379,399,980
0121,175,294,827,1001
0122,203,312,537,654
0123,124,312,400,963
0124,379,711,654,1091
0125,5,153,168,381
0126,369,718,660,1113
0127,456,731,331,604
0128,466,719,166,812
0129,182,518,1253,1749
0130,339,579,166,808
0131,265,516,100,768
0132,376,725,648,1152
0134,153,599,471,1120
0133,352,761,79,574
0135,91,152,240,432
0136,227,447,102,762
0011,107,287,820,909
0137,34,420,18,530
0139,19,537,145,359
0138,408,636,173,813
0141,36,458,13,308
0140,67,294,101,778
0142,376,730,132,652
0143,474,713,175,807
0144,494,722,102,768
0145,143,496,228,673
0146,485,702,166,806
0147,270,514,105,772
0148,163,501,167,713
0150,68,377,516,1035
0149,64,307,93,692
0151,295,490,309,923
0152,504,716,129,804
0153,201,522,164,754
0154,290,531,119,704
0155,322,501,325,906
0157,13,460,208,610
0156,62,274,131,789
0158,174,434,164,762
0159,511,697,210,736
0160,312,528,213,851
0161,114,193,31,293
0163,485,758,319,1008
0162,495,706,133,791
0164,197,476,556,1165
0165,205,424,220,851
0166,48,149,114,441
0167,501,712,130,798
0168,107,274,151,683
0169,39,368,155,659
0170,302,567,86,666
0012,357,664,46,409
0171,35,228,206,825
0173,469,671,180,797
0172,450,654,8,530
0174,469,674,5,505
0175,271,607,1227,1740
0176,390,603,178,813
0177,133,188,223,425
0178,378,710,146,685
0179,497,697,216,833
0180,292,366,464,588
0181,508,710,172,830
0013,182,263,561,717
0014,540,722,36,229
0015,211,440,66,760
0016,487,971,493,1007
0017,200,517,1239,1822
0018,334,595,475,1100
0019,507,733,94,783
0020,472,672,257,821
0021,46,194,118,620
0023,476,730,45,351
0022,490,696,134,795
0024,231,543,1236,1863
0025,330,508,245,846
0026,447,653,136,784
0027,391,712,1234,1863
0028,84,416,584,1082
0029,252,446,248,839
0030,487,725,136,786
0031,501,699,726,1230
0032,296,480,255,842
0033,443,660,132,787
0034,39,167,427,517
0035,504,711,732,1223
0036,360,562,329,921
0182,495,720,143,788
0037,52,167,6,271
0038,42,161,27,290
0183,34,135,236,363
0184,36,139,273,393
0185,20,144,253,383
0039,24,158,205,365
0040,43,184,70,331
0041,65,249,11,396
0186,83,185,85,236
0187,82,202,113,251
0042,91,213,85,257
0188,64,136,603,733
0189,63,136,581,691
0043,60,139,545,653
0190,59,135,527,619
0191,52,137,505,598
0192,53,136,481,584
0193,48,130,443,564
0044,38,127,409,551
0194,36,127,380,545
0045,23,148,182,399
0202,35,109,277,452
0201,38,102,242,415
0200,45,119,156,330
0199,55,135,126,292
0198,69,163,81,241
0050,81,180,36,193
0049,14,153,14,226
0197,39,177,26,174
0196,65,189,65,176
0048,10,143,557,760
0195,20,114,618,722
0047,105,189,139,329
0046,131,216,36,181
