0001,237,459,-20,602
0002,232,454,-191,431
0003,205,427,196,818
0004,823,1045,516,1138
0005,851,1073,-60,562
0006,446,668,16,638
0007,921,1143,-62,560
0008,625,847,-376,246
0009,915,1137,-50,572
0010,412,634,-353,269
0011,224,446,464,1086
0012,906,1128,-48,574
0013,181,403,137,759
0014,575,797,-376,246
0015,193,415,136,758
0016,918,1140,215,837
0017,708,930,-58,564
0018,918,1140,-50,572
0019,614,836,440,1062
0020,476,698,223,845
0021,18,240,30,652
0022,478,700,169,791
0023,912,1134,-57,565
0024,754,976,-52,570
0025,309,531,207,829
0026,438,660,157,779
0027,922,1144,-50,572
0028,915,1137,-55,567
0029,252,474,205,827
0030,490,712,160,782
0031,483,705,689,1311
0032,287,509,203,825
0033,438,660,160,782
0034,223,445,159,781
0035,487,709,647,1269
0036,366,588,321,943
0037,6,228,-254,368
0038,5,227,-254,368
0039,10,232,121,743
0040,17,239,120,742
0041,69,291,-297,325
0042,-174,48,-155,467
0043,10,232,134,756
0044,25,247,131,753
0045,19,241,125,747
0046,37,259,-454,168
0047,-185,37,-191,431
0048,25,247,116,738
0049,3,225,-72,550
0050,12,234,-181,441
